"","Ctrl1","Ctrl2","DT1","DT2"
"Nes",0.715282112866453,0.964908459158049,-0.570092521861093,-1.11009805016341
"Prom1",-0.085338619762068,-1.0651498756704,1.34866559901034,-0.198177103577873
"Gfap",-1.0480249603186,-0.659416133807827,0.786131716376086,0.921309377750341
"Clu",-1.24254367515363,0.400841662408822,-0.265144634241918,1.10684664698673
"Aqp4",-1.20330527239623,-0.128700175795253,1.23537669134741,0.096628756844065
"Cspg4",0.408781864323468,0.881410944667351,0.137116287754924,-1.42730909674574
"Pdgfra",0.379253220507761,1.18078583969082,-1.13005585739083,-0.429983202807754
"Cnp",-1.2358240103186,0.0128287682070151,0.00953592912159939,1.21345931298999
"Mbp",-0.812373039753261,-0.583916519527108,-0.017494541466373,1.41378410074674
"Plp1",-1.11833740653536,-0.0812534137675168,-0.115470365563242,1.31506118586611
"Pllp",1.38372549685724,-0.457884636997016,-0.9357072527456,0.00986639288537291
"Cldn11",-0.712693318432504,-0.64643746695183,-0.0789095868862137,1.43804037227055
"Btg2",0.288274628043486,-1.44084663553861,0.873479203074865,0.279092804420259
"Aspa",0.465303472427391,-1.08121225251386,1.15199257960195,-0.53608379951548
"Olig2",-0.702785352608507,-0.91939435643922,0.395714565608185,1.22646514343954
"Egfr",-0.703917485050825,1.42181927824235,-0.0233628888211185,-0.694538904370408
"Hes6",-0.698122290780967,1.45206116599828,-0.132090157623131,-0.62184871759419
"Ascl1",-0.866025403784441,0.866025403784437,-0.866025403784441,0.866025403784437
"Dll1",1.44074807967346,-0.865919012561448,-0.355293125186252,-0.219535941925759
